ID,title,description
61890320-51B3-E04F-1900-01BE8A15BE52,Steel Frames,Robust steel frames for construction and automotive use
4E890320-51B3-E04F-1900-01BE8A15BE52,Aluminum Sheets,High-quality aluminum sheets for industrial applications
4F890320-51B3-E04F-1900-01BE8A15BE52,Smartphones,Advanced smartphones with the latest technology
50890320-51B3-E04F-1900-01BE8A15BE52,Laptops,High-performance laptops for personal and professional use
51890320-51B3-E04F-1900-01BE8A15BE52,Solar Panels,Efficient solar panels for renewable energy solutions
52890320-51B3-E04F-1900-01BE8A15BE52,Wind Turbines,Durable wind turbines for wind energy generation
53890320-51B3-E04F-1900-01BE8A15BE52,Engine Parts,Precision engine parts for automotive manufacturers
54890320-51B3-E04F-1900-01BE8A15BE52,Transmission Systems,Advanced transmission systems for modern vehicles
55890320-51B3-E04F-1900-01BE8A15BE52,CNC Machines,Computer-controlled CNC machines for precise manufacturing
56890320-51B3-E04F-1900-01BE8A15BE52,Lathes,High-precision lathes for metalworking
57890320-51B3-E04F-1900-01BE8A15BE52,Cotton Fabric,Premium cotton fabric for clothing and textiles
58890320-51B3-E04F-1900-01BE8A15BE52,Silk Fabric,Luxurious silk fabric for high-end fashion
59890320-51B3-E04F-1900-01BE8A15BE52,Cookware Sets,Modern cookware sets for the contemporary kitchen
5A890320-51B3-E04F-1900-01BE8A15BE52,Kitchen Appliances,Innovative kitchen appliances for smarter cooking
5B890320-51B3-E04F-1900-01BE8A15BE52,Plastic Bottles,Versatile plastic bottles for beverage and household products
5C890320-51B3-E04F-1900-01BE8A15BE52,Plastic Containers,Durable plastic containers for storage and packaging
5D890320-51B3-E04F-1900-01BE8A15BE52,Food Packaging Machines,State-of-the-art food packaging machines for industry use
5E890320-51B3-E04F-1900-01BE8A15BE52,Bottle Filling Lines,Automated bottle filling lines for liquid products
5F890320-51B3-E04F-1900-01BE8A15BE52,Industrial Chemicals,Bulk chemicals for manufacturing and industrial use
60890320-51B3-E04F-1900-01BE8A15BE52,Specialty Chemicals,Specialty chemicals tailored for specific applications